feature,importance_mean,importance_std,channel,feature_group,feature_type,importance_positive
prev_C3_delta_power,0.02011130858254769,0.0006805916790228379,C3,previous_epoch_context,delta_power,0.02011130858254769
C4_delta_power,0.015872567726770814,0.00039650154764015827,C4,original_band_power,delta_power,0.015872567726770814
O2_delta_power,0.013055848200789458,0.0006756505432647612,O2,original_band_power,delta_power,0.013055848200789458
O1_alpha_power,0.012827270590761755,0.0007421954115548351,O1,original_band_power,alpha_power,0.012827270590761755
prev_O1_alpha_power,0.011177350686876234,0.0008897929324687312,O1,previous_epoch_context,alpha_power,0.011177350686876234
C3_delta_power,0.010562095565388082,0.0005413563182771427,C3,original_band_power,delta_power,0.010562095565388082
prev_C4_delta_power,0.010307131253951773,0.0007485798189155801,C4,previous_epoch_context,delta_power,0.010307131253951773
prev_O2_alpha_power,0.009838257728470171,0.0006506548834741418,O2,previous_epoch_context,alpha_power,0.009838257728470171
prev_F4_alpha_power,0.009303790516952773,0.0007148895030882883,F4,previous_epoch_context,alpha_power,0.009303790516952773
O1_delta_power,0.009151294001427557,0.0001706292295203939,O1,original_band_power,delta_power,0.009151294001427557
prev_F3_beta_power,0.009111975379181366,0.0014877553864545967,F3,previous_epoch_context,beta_power,0.009111975379181366
F4_std,0.008943368234426985,0.0009292413491303192,F4,original_statistical,std,0.008943368234426985
F4_delta_power,0.008444284297230245,0.0003990455345381399,F4,original_band_power,delta_power,0.008444284297230245
C3_rel_delta_power,0.00828839244735513,0.000552059341984741,C3,relative_band_power,delta_power,0.00828839244735513
prev_F3_alpha_power,0.007859563075021633,0.0003470204684066894,F3,previous_epoch_context,alpha_power,0.007859563075021633
O2_theta_power,0.0076578580399282075,0.00010697826165164892,O2,original_band_power,theta_power,0.0076578580399282075
prev_O2_delta_power,0.007524085514877599,0.0006777935074476648,O2,previous_epoch_context,delta_power,0.007524085514877599
prev_F4_delta_power,0.007367032497383501,0.0004630055212177951,F4,previous_epoch_context,delta_power,0.007367032497383501
O2_alpha_power,0.007046502209416272,0.0005764453924612472,O2,original_band_power,alpha_power,0.007046502209416272
prev_O1_delta_power,0.006825224169961934,0.00046592892906928754,O1,previous_epoch_context,delta_power,0.006825224169961934
F3_std,0.0066582402843803346,0.0006142767877754168,F3,original_statistical,std,0.0066582402843803346
O1_rel_alpha_power,0.006648407869866424,0.00043984344989527927,O1,relative_band_power,alpha_power,0.006648407869866424
C3_theta_power,0.006598810057886466,0.000618180280976811,C3,original_band_power,theta_power,0.006598810057886466
O2_rel_alpha_power,0.006507832219436145,0.0016889255966681803,O2,relative_band_power,alpha_power,0.006507832219436145
O2_rel_theta_power,0.006025607572460549,0.0007431374358464933,O2,relative_band_power,theta_power,0.006025607572460549
F3_delta_power,0.00591155410356851,0.000913647111202321,F3,original_band_power,delta_power,0.00591155410356851
C4_rel_delta_power,0.005590048624977621,0.0013827356645225747,C4,relative_band_power,delta_power,0.005590048624977621
C3_rel_theta_power,0.005589059368001803,0.0008144584092678676,C3,relative_band_power,theta_power,0.005589059368001803
F4_alpha_power,0.0054649802843705535,0.0002552831890663488,F4,original_band_power,alpha_power,0.0054649802843705535
C3_C4_alpha_power_absdiff,0.005393408001490648,0.0007413344271633241,C3,left_right_difference,C4_alpha_power_absdiff,0.005393408001490648
F3_rel_beta_power,0.005298625374702566,0.00011738444364725214,F3,relative_band_power,beta_power,0.005298625374702566
F4_rel_alpha_power,0.00491027738219522,0.0008623327068913417,F4,relative_band_power,alpha_power,0.00491027738219522
O1_rel_theta_power,0.004521283992918142,0.0006879854542669757,O1,relative_band_power,theta_power,0.004521283992918142
O1_alpha_theta_ratio,0.004472168956498638,0.0004256058257793027,O1,band_power_ratio,alpha_theta_ratio,0.004472168956498638
prev_C3_theta_power,0.004326829702730461,6.058107483445217e-05,C3,previous_epoch_context,theta_power,0.004326829702730461
prev_F3_delta_power,0.004261783335549496,0.0010283965066519927,F3,previous_epoch_context,delta_power,0.004261783335549496
F4_rel_theta_power,0.004241148050230459,0.001425882947564092,F4,relative_band_power,theta_power,0.004241148050230459
C4_delta_theta_ratio,0.004173786745896487,0.0006943795907762472,C4,band_power_ratio,delta_theta_ratio,0.004173786745896487
prev_C4_theta_power,0.0039030862847271677,0.0003329764616521145,C4,previous_epoch_context,theta_power,0.0039030862847271677
prev_O2_std,0.0038882080783502193,0.00024021768470858996,O2,previous_epoch_context,std,0.0038882080783502193
F3_rel_alpha_power,0.0037920594946888597,0.0009917150704894517,F3,relative_band_power,alpha_power,0.0037920594946888597
C4_std,0.003775538075698711,0.000324136492790746,C4,original_statistical,std,0.003775538075698711
F4_energy,0.003616677592749714,0.0005580852905734565,F4,original_statistical,energy,0.003616677592749714
O2_rel_delta_power,0.0035390602008938954,0.0005170915844787374,O2,relative_band_power,delta_power,0.0035390602008938954
prev_C4_alpha_power,0.003478822165190798,0.0005410315011046496,C4,previous_epoch_context,alpha_power,0.003478822165190798
C4_ptp,0.0034277406057236317,0.0003099706380877312,C4,original_statistical,ptp,0.0034277406057236317
C3_C4_beta_power_absdiff,0.00328472888502603,0.0003245954941544035,C3,left_right_difference,C4_beta_power_absdiff,0.00328472888502603
C3_alpha_power,0.0032361501964297914,0.00016480763057846124,C3,original_band_power,alpha_power,0.0032361501964297914
F3_alpha_power,0.0032300849458936076,0.0006336394989258668,F3,original_band_power,alpha_power,0.0032300849458936076
prev_O1_beta_power,0.003192439443137296,0.0005084742200011215,O1,previous_epoch_context,beta_power,0.003192439443137296
prev_F4_beta_power,0.0030118321834871433,0.00035863739974405223,F4,previous_epoch_context,beta_power,0.0030118321834871433
C3_C4_theta_power_absdiff,0.002879650001281949,0.0008356355464549658,C3,left_right_difference,C4_theta_power_absdiff,0.002879650001281949
prev_C3_beta_power,0.0028788591225486306,0.00034714375756267064,C3,previous_epoch_context,beta_power,0.0028788591225486306
O1_std,0.0028758089599367023,0.0005345536983423092,O1,original_statistical,std,0.0028758089599367023
O1_theta_power,0.0028433234487720283,0.0004342639802331961,O1,original_band_power,theta_power,0.0028433234487720283
prev_C4_std,0.0028323099981833653,0.000453556923773484,C4,previous_epoch_context,std,0.0028323099981833653
O2_std,0.002815213026944726,0.0005710039663209535,O2,original_statistical,std,0.002815213026944726
F3_F4_energy_absdiff,0.0028122087769501722,0.0006829713446720397,F3,left_right_difference,F4_energy_absdiff,0.0028122087769501722
C3_delta_theta_ratio,0.0028104149860271876,0.0010536342852216199,C3,band_power_ratio,delta_theta_ratio,0.0028104149860271876
F3_F4_delta_power_absdiff,0.002775937746399985,0.000684368180781808,F3,left_right_difference,F4_delta_power_absdiff,0.002775937746399985
O2_alpha_theta_ratio,0.0026544272367931,0.00035002031591796213,O2,band_power_ratio,alpha_theta_ratio,0.0026544272367931
F3_theta_power,0.002595298260945437,0.0007471568687012648,F3,original_band_power,theta_power,0.002595298260945437
prev_F4_theta_power,0.0025942863303527095,0.0005053870318397046,F4,previous_epoch_context,theta_power,0.0025942863303527095
C3_std,0.0025585483903493023,0.0008821652993410107,C3,original_statistical,std,0.0025585483903493023
prev_O2_theta_power,0.0025037515577183886,0.0005672785826670656,O2,previous_epoch_context,theta_power,0.0025037515577183886
F4_alpha_theta_ratio,0.002478271533195057,0.00043780203889570403,F4,band_power_ratio,alpha_theta_ratio,0.002478271533195057
C4_rel_theta_power,0.002463474081642899,0.00033479323097656736,C4,relative_band_power,theta_power,0.002463474081642899
prev_F3_theta_power,0.002385987416583838,0.001075930419127047,F3,previous_epoch_context,theta_power,0.002385987416583838
C3_ptp,0.0023457504042532587,0.0007147260731746104,C3,original_statistical,ptp,0.0023457504042532587
F3_F4_delta_power_diff,0.0022443561434580817,0.0002670256021508317,F3,left_right_difference,F4_delta_power_diff,0.0022443561434580817
O1_O2_alpha_power_absdiff,0.002086979994262291,0.0006156718608481206,O1,left_right_difference,O2_alpha_power_absdiff,0.002086979994262291
prev_C3_alpha_power,0.002074130896680811,0.0009307400888517489,C3,previous_epoch_context,alpha_power,0.002074130896680811
prev_C4_beta_power,0.0020643200276319793,0.0006583502040509347,C4,previous_epoch_context,beta_power,0.0020643200276319793
O2_max,0.002045277895404133,0.0006840459508091423,O2,original_statistical,max,0.002045277895404133
F4_rel_delta_power,0.001975499973262925,0.0005340339312226654,F4,relative_band_power,delta_power,0.001975499973262925
prev_O1_std,0.0019631702977783716,0.0004266579613493933,O1,previous_epoch_context,std,0.0019631702977783716
F3_max,0.0019482463760736035,0.0006864866789195068,F3,original_statistical,max,0.0019482463760736035
prev_O1_theta_power,0.0019049503424609648,0.001163994531368366,O1,previous_epoch_context,theta_power,0.0019049503424609648
prev_O2_beta_power,0.0018785386796490073,0.0004999743263189348,O2,previous_epoch_context,beta_power,0.0018785386796490073
C3_energy,0.0018284595060677662,0.00034127452747652635,C3,original_statistical,energy,0.0018284595060677662
O1_O2_alpha_power_diff,0.0018246528094478058,0.0004507768162487756,O1,left_right_difference,O2_alpha_power_diff,0.0018246528094478058
F4_delta_theta_ratio,0.001806062809088867,0.0007121580441481833,F4,band_power_ratio,delta_theta_ratio,0.001806062809088867
F3_F4_mean_absdiff,0.0018000745458783458,0.00040720117444873914,F3,left_right_difference,F4_mean_absdiff,0.0018000745458783458
C3_max,0.001775480014020799,0.0003308130200532966,C3,original_statistical,max,0.001775480014020799
C4_alpha_power,0.001732669324080079,0.00020402419156974167,C4,original_band_power,alpha_power,0.001732669324080079
F3_rel_theta_power,0.001660780271650027,0.00020979397645560493,F3,relative_band_power,theta_power,0.001660780271650027
F3_median,0.0016506274548824251,0.00018180953355978076,F3,original_statistical,median,0.0016506274548824251
F4_theta_power,0.0016311590455093301,0.000668594257266693,F4,original_band_power,theta_power,0.0016311590455093301
O1_O2_std_absdiff,0.0016086079474657196,0.00029525225131570834,O1,left_right_difference,O2_std_absdiff,0.0016086079474657196
C3_C4_delta_power_diff,0.001549413864970724,0.0003104381076301474,C3,left_right_difference,C4_delta_power_diff,0.001549413864970724
O2_delta_theta_ratio,0.0014997375020373571,0.0003211965938845441,O2,band_power_ratio,delta_theta_ratio,0.0014997375020373571
O1_rel_delta_power,0.00149067785898771,0.00013306586859909285,O1,relative_band_power,delta_power,0.00149067785898771
O1_O2_theta_power_diff,0.0014872985075679763,0.0005119443732728943,O1,left_right_difference,O2_theta_power_diff,0.0014872985075679763
O2_min,0.0014791256742956078,0.00026363910054212137,O2,original_statistical,min,0.0014791256742956078
prev_O1_energy,0.0014775915896282354,0.00013649379027791476,O1,previous_epoch_context,energy,0.0014775915896282354
C3_C4_energy_absdiff,0.001476239637098235,0.00024138848039896666,C3,left_right_difference,C4_energy_absdiff,0.001476239637098235
F3_rel_delta_power,0.0014637140531978583,0.0007786489724352145,F3,relative_band_power,delta_power,0.0014637140531978583
O1_O2_std_diff,0.0014327641490515797,0.0003784256908905105,O1,left_right_difference,O2_std_diff,0.0014327641490515797
C3_C4_mean_absdiff,0.0014071978177352025,0.0002523334006016287,C3,left_right_difference,C4_mean_absdiff,0.0014071978177352025
O1_O2_beta_power_absdiff,0.001381526196416701,0.0014638835104116795,O1,left_right_difference,O2_beta_power_absdiff,0.001381526196416701
C4_theta_power,0.0012592078259365074,0.000141417190723924,C4,original_band_power,theta_power,0.0012592078259365074
prev_C3_std,0.001238102791048375,0.00031125090734095037,C3,previous_epoch_context,std,0.001238102791048375
C3_C4_std_absdiff,0.0012268644207585888,0.0006400937284789787,C3,left_right_difference,C4_std_absdiff,0.0012268644207585888
prev_F4_std,0.0012025234672993583,0.0010331846424399317,F4,previous_epoch_context,std,0.0012025234672993583
prev_C3_energy,0.0011557343874410246,0.00017603656485608177,C3,previous_epoch_context,energy,0.0011557343874410246
O2_beta_power,0.0011509103869510318,0.0006734794601884989,O2,original_band_power,beta_power,0.0011509103869510318
C3_C4_theta_power_diff,0.0011490580972127,0.0004822992571681804,C3,left_right_difference,C4_theta_power_diff,0.0011490580972127
F3_delta_theta_ratio,0.0011236569394924196,0.0001251306191565904,F3,band_power_ratio,delta_theta_ratio,0.0011236569394924196
O2_ptp,0.0010784184661058276,0.00029760362832403534,O2,original_statistical,ptp,0.0010784184661058276
F3_beta_power,0.0010358073414426332,0.000516545186565961,F3,original_band_power,beta_power,0.0010358073414426332
F3_F4_beta_power_absdiff,0.0010234724559427717,0.0005906326620539708,F3,left_right_difference,F4_beta_power_absdiff,0.0010234724559427717
O1_delta_theta_ratio,0.0010138895406996602,0.0002865823124298453,O1,band_power_ratio,delta_theta_ratio,0.0010138895406996602
C4_min,0.000991396231673732,0.00024158103011125503,C4,original_statistical,min,0.000991396231673732
F3_energy,0.0009655305567043415,0.0006361857133104573,F3,original_statistical,energy,0.0009655305567043415
C3_C4_energy_diff,0.0009583849286765403,0.00019211319350468818,C3,left_right_difference,C4_energy_diff,0.0009583849286765403
O1_O2_beta_power_diff,0.0009356004914879978,0.0006351854659281597,O1,left_right_difference,O2_beta_power_diff,0.0009356004914879978
F4_min,0.0009280157540558035,0.00035826826383402924,F4,original_statistical,min,0.0009280157540558035
F3_F4_energy_diff,0.0009271054032327456,0.00016799470589237765,F3,left_right_difference,F4_energy_diff,0.0009271054032327456
C3_C4_delta_power_absdiff,0.000881883806940135,0.0005665878731912326,C3,left_right_difference,C4_delta_power_absdiff,0.000881883806940135
F3_F4_std_absdiff,0.0008609124820537032,0.0006452906369553145,F3,left_right_difference,F4_std_absdiff,0.0008609124820537032
prev_F4_mean,0.0008454151086584686,0.0001511520510668739,F4,previous_epoch_context,mean,0.0008454151086584686
prev_C4_energy,0.0008445652796912709,0.00035204371037673765,C4,previous_epoch_context,energy,0.0008445652796912709
O1_O2_energy_diff,0.0008409499032763224,0.0005973018226085557,O1,left_right_difference,O2_energy_diff,0.0008409499032763224
C3_rel_alpha_power,0.0008399946248324556,0.00036419802300989215,C3,relative_band_power,alpha_power,0.0008399946248324556
O2_energy,0.0008028690178519815,0.00039868093007347315,O2,original_statistical,energy,0.0008028690178519815
C3_median,0.000794716249873817,0.0003584555023061109,C3,original_statistical,median,0.000794716249873817
F3_F4_alpha_power_absdiff,0.0007758287376287883,0.00031051545813091957,F3,left_right_difference,F4_alpha_power_absdiff,0.0007758287376287883
C4_rel_alpha_power,0.0007609627796414387,0.0002544147923793366,C4,relative_band_power,alpha_power,0.0007609627796414387
prev_F3_energy,0.0007354442961832927,0.0002567219289216488,F3,previous_epoch_context,energy,0.0007354442961832927
prev_O1_mean,0.000727017112361894,0.00013751955754424968,O1,previous_epoch_context,mean,0.000727017112361894
C4_median,0.0007139002721571938,0.00022894595037246113,C4,original_statistical,median,0.0007139002721571938
C3_C4_mean_diff,0.0006960710705906648,2.115208717321808e-05,C3,left_right_difference,C4_mean_diff,0.0006960710705906648
F4_beta_power,0.0006560870998298199,0.0003533134654595848,F4,original_band_power,beta_power,0.0006560870998298199
F3_F4_theta_power_diff,0.000645905249306263,0.000256440996658137,F3,left_right_difference,F4_theta_power_diff,0.000645905249306263
F4_rel_beta_power,0.0006453786672294312,0.00024215470436198374,F4,relative_band_power,beta_power,0.0006453786672294312
O1_beta_power,0.0006179455665820491,0.000223475547775766,O1,original_band_power,beta_power,0.0006179455665820491
O1_max,0.0006061098907988264,0.00048476085159428954,O1,original_statistical,max,0.0006061098907988264
C3_min,0.0005811323004636751,0.00036146824830122516,C3,original_statistical,min,0.0005811323004636751
prev_O2_energy,0.0005623033632903655,0.0003040863708524281,O2,previous_epoch_context,energy,0.0005623033632903655
prev_F4_energy,0.0005582944090905354,0.0002292813196433396,F4,previous_epoch_context,energy,0.0005582944090905354
O2_mean,0.0005493302096406157,0.00024129316440569366,O2,original_statistical,mean,0.0005493302096406157
O1_O2_energy_absdiff,0.0005460611727263753,3.1576626324907876e-05,O1,left_right_difference,O2_energy_absdiff,0.0005460611727263753
prev_F3_mean,0.000540261711585425,0.00011150076316177843,F3,previous_epoch_context,mean,0.000540261711585425
F3_mean,0.0004994900567197128,0.00022403480970476107,F3,original_statistical,mean,0.0004994900567197128
F3_F4_std_diff,0.0004985633771948569,0.0003679385590724975,F3,left_right_difference,F4_std_diff,0.0004985633771948569
C4_alpha_theta_ratio,0.0004898295791826804,0.00010157874800332434,C4,band_power_ratio,alpha_theta_ratio,0.0004898295791826804
C4_energy,0.0004804144321223965,0.0002414494146657682,C4,original_statistical,energy,0.0004804144321223965
F4_ptp,0.0004694627862360523,0.00034356273624080725,F4,original_statistical,ptp,0.0004694627862360523
F3_ptp,0.00042799430613612205,0.0009715732528078059,F3,original_statistical,ptp,0.00042799430613612205
F3_beta_alpha_ratio,0.0004184954884098868,0.0004723070430151769,F3,band_power_ratio,beta_alpha_ratio,0.0004184954884098868
F4_max,0.00039712247905839454,0.0003331782222757514,F4,original_statistical,max,0.00039712247905839454
O1_O2_mean_diff,0.00038820301173521826,0.00034289994176048315,O1,left_right_difference,O2_mean_diff,0.00038820301173521826
F4_median,0.00036383238511454125,9.667147501465307e-05,F4,original_statistical,median,0.00036383238511454125
C3_C4_alpha_power_diff,0.00035534376257373435,0.0005970273382973956,C3,left_right_difference,C4_alpha_power_diff,0.00035534376257373435
prev_C4_mean,0.0003334927522583205,6.276748656268137e-05,C4,previous_epoch_context,mean,0.0003334927522583205
C3_alpha_theta_ratio,0.00029975797929141884,6.380500107050713e-05,C3,band_power_ratio,alpha_theta_ratio,0.00029975797929141884
F3_F4_mean_diff,0.0002963159042686329,0.0006090545873160796,F3,left_right_difference,F4_mean_diff,0.0002963159042686329
O1_min,0.0002695310517766651,0.0003951086998293358,O1,original_statistical,min,0.0002695310517766651
C4_max,0.00026062154300010576,0.00022862203135666883,C4,original_statistical,max,0.00026062154300010576
O1_ptp,0.00023433613111238186,0.0002413812613184622,O1,original_statistical,ptp,0.00023433613111238186
O1_O2_theta_power_absdiff,0.0002283448983448159,0.00010453550622564814,O1,left_right_difference,O2_theta_power_absdiff,0.0002283448983448159
C3_C4_std_diff,0.00017855814045419915,0.00013203057469779466,C3,left_right_difference,C4_std_diff,0.00017855814045419915
O1_O2_delta_power_absdiff,0.00013763203873558746,0.0007346647310155391,O1,left_right_difference,O2_delta_power_absdiff,0.00013763203873558746
O1_energy,0.00011731261937727074,0.000315732347381938,O1,original_statistical,energy,0.00011731261937727074
C4_rel_beta_power,8.735793824417766e-05,0.00048812359124413815,C4,relative_band_power,beta_power,8.735793824417766e-05
F3_F4_beta_power_diff,6.498691467356672e-05,0.00041313814185218713,F3,left_right_difference,F4_beta_power_diff,6.498691467356672e-05
prev_C3_mean,-2.000815788975411e-06,0.00017711880955229917,C3,previous_epoch_context,mean,0.0
F3_F4_theta_power_absdiff,-2.7322752805258865e-05,0.00036362343146475296,F3,left_right_difference,F4_theta_power_absdiff,0.0
O1_rel_beta_power,-3.219492118385533e-05,0.000544153114265053,O1,relative_band_power,beta_power,0.0
O1_O2_delta_power_diff,-5.823737535307997e-05,0.0007165476733254428,O1,left_right_difference,O2_delta_power_diff,0.0
O1_median,-0.00013573927489792434,0.000635859941935561,O1,original_statistical,median,0.0
C4_mean,-0.0001539167399542037,0.0004523779277491808,C4,original_statistical,mean,0.0
O1_mean,-0.000186386698328637,0.0008831713451136441,O1,original_statistical,mean,0.0
O1_beta_alpha_ratio,-0.000200010520436944,0.0005709536150830935,O1,band_power_ratio,beta_alpha_ratio,0.0
C3_mean,-0.00020534034782115906,2.778083678792713e-05,C3,original_statistical,mean,0.0
O1_O2_mean_absdiff,-0.0002433453397763611,0.00012680096347284065,O1,left_right_difference,O2_mean_absdiff,0.0
F3_F4_alpha_power_diff,-0.00024361717011448883,6.279897754333631e-05,F3,left_right_difference,F4_alpha_power_diff,0.0
