true_class,predicted_class,mean_confusion_rate
N1,N2,0.24190107216250706
N1,REM,0.17267749954828834
REM,N1,0.16218057292908122
N3,N2,0.15758981434805094
N1,Wake,0.155038132940523
N2,N1,0.10920904387901484
N2,REM,0.09405334289580575
Wake,N1,0.08953865717842374
N2,N3,0.08913378110565844
REM,N2,0.0774606263000828
REM,Wake,0.047426983250169585
N2,Wake,0.036944966656787245
Wake,REM,0.032933042558812436
Wake,N2,0.023613021746635876
N3,Wake,0.012329118453327568
N3,REM,0.010484874249006092
N1,N3,0.008191188214954365
REM,N3,0.006164415382994575
Wake,N3,0.0036956887425906152
N3,N1,0.002061731213560533
