l2_regularization,learning_rate,max_iter,max_leaf_nodes,accuracy,macro_f1
0.0,0.08,300,15,0.659826835493719,0.6373270342383566
0.1,0.05,300,15,0.6594765026775437,0.6367776360746227
0.1,0.08,200,15,0.6584255042290176,0.636047399029679
0.0,0.05,300,31,0.6597767879485511,0.6357070996058891
0.1,0.05,300,31,0.6588258845903608,0.6355949214679555
0.1,0.08,300,15,0.657674791051499,0.6349534255006256
0.1,0.08,300,31,0.6605775486712376,0.634780770913064
0.1,0.08,200,31,0.6581252189580101,0.6342821785835988
0.0,0.08,200,15,0.6569240778739803,0.6340341838517392
0.1,0.05,200,31,0.6564236024223011,0.6334618530012841
0.0,0.08,200,31,0.6573745057804915,0.633412761895652
0.0,0.05,300,15,0.6558730794254541,0.6324940740813884
0.0,0.05,200,31,0.6554726990641109,0.6320721577449151
0.0,0.08,300,31,0.6570241729643161,0.6320614427208614
0.1,0.05,200,15,0.6551223662479355,0.6316947778853125
0.0,0.03,300,31,0.6547720334317602,0.6315052938928309
0.1,0.03,300,31,0.6544217006155848,0.630973648025523
0.0,0.03,300,15,0.653771082528402,0.6302774905411832
0.0,0.05,200,15,0.6541214153445774,0.6299113968517757
0.0,0.03,200,31,0.6523197037185327,0.629103769948807
0.1,0.03,300,15,0.6534207497122266,0.6290875432543747
0.1,0.03,200,31,0.6517691807216855,0.6282366528181764
0.1,0.03,200,15,0.6482158050147641,0.6234625335028674
0.0,0.03,200,15,0.647064711475902,0.6228749042890563
