l2_regularization,learning_rate,max_iter,max_leaf_nodes,accuracy,macro_f1
0.1,0.08,300,15,0.6614418487817131,0.6395377774522037
0.1,0.05,300,15,0.6599346897764381,0.6383250080517702
0.0,0.08,200,15,0.6596332579753831,0.6378386941680494
0.0,0.08,300,15,0.6599849284099473,0.6373455481438992
0.1,0.08,200,15,0.6582768148706355,0.6368124435029083
0.0,0.05,300,15,0.6582265762371263,0.6367536848520441
0.1,0.05,200,15,0.6577744285355438,0.63618043626737
0.1,0.08,200,31,0.6571715649334338,0.6346427297411293
0.1,0.08,300,31,0.6579753830695805,0.6339702354209773
0.0,0.05,300,31,0.6554634513941221,0.633244580019287
0.1,0.03,300,15,0.6553127354935946,0.6328565018925515
0.1,0.03,300,31,0.6553629741271038,0.6327416428234673
0.0,0.05,200,15,0.6550615423260487,0.6327110221674329
0.1,0.05,300,31,0.6551620195930671,0.6322760299523352
0.1,0.05,200,31,0.6547098718914846,0.6321286398859621
0.0,0.03,300,15,0.653956292388847,0.6315031817842311
0.0,0.05,200,31,0.652449133383572,0.6306845514562044
0.0,0.03,300,31,0.6529515197186636,0.6305973486417159
0.0,0.08,300,31,0.6544586787239387,0.6305418908643051
0.1,0.03,200,31,0.652147701582517,0.6294347938027508
0.0,0.03,200,31,0.6519467470484803,0.6292864440575351
0.0,0.08,200,31,0.6516955538809345,0.6289053168781387
0.1,0.03,200,15,0.6489324290379301,0.6250038088604518
0.0,0.03,200,15,0.6474252700326552,0.6240044574656196
